,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199208,-4.5597,-2.9626,-1.7599,-2.0318,-3.1701,-4.2303,-3.4698,-0.3033,-0.4437,-3.6641,-3.9148,-1.9763,-2.2723,-1.3237,-3.1831,-1.3096,-2.5249,-2.2787,-1.3956,-4.712,-0.6031,-3.0956,-0.6441,-3.6756,-8.8069
199209,0.3222,1.7058,1.6513,2.1101,0.9771,1.9571,1.5653,3.7153,2.1611,2.2474,2.7806,2.9054,1.945,0.3623,1.739,0.4638,3.3828,1.7493,1.0744,0.4341,0.7331,3.4314,0.8654,0.0686,0.2032
199210,2.6216,1.7645,2.7754,2.2522,1.2283,4.7941,3.9655,2.523,1.2658,2.5824,5.9535,3.5374,1.8275,2.3251,1.2534,4.9173,0.725,1.0321,2.0977,4.8942,2.0321,1.5197,-1.7021,-1.9156,-0.1368
199211,10.4849,10.4762,7.6894,8.5887,7.7853,9.4436,8.14,6.5777,4.4775,6.7132,9.7711,6.774,6.172,5.0056,4.4891,6.9874,5.0074,4.0946,2.7958,4.0614,3.7026,4.9118,0.6836,3.1057,8.5218
199212,1.4458,3.5484,4.9259,3.7912,5.1371,1.585,2.5737,3.3692,6.1848,5.0149,3.1435,5.7004,2.3367,4.1402,4.435,1.4374,1.8932,4.0849,4.2661,4.422,-0.6921,3.1978,3.0841,-0.1178,2.852
199301,2.6318,5.6983,3.8927,5.778,8.2662,-0.6967,3.2459,4.4292,4.6628,7.8853,-2.0186,3.4455,4.7716,3.0934,4.2575,0.9473,1.5379,2.9467,2.7398,4.5674,-2.3898,0.9799,0.8102,3.293,9.3035
199302,-7.5808,-5.0275,-2.1208,-0.5023,0.7801,-7.973,-4.5898,-0.2572,2.7082,1.7679,-8.0371,0.3092,1.5007,0.4496,3.5514,-5.0311,1.752,1.5704,2.9398,2.4008,-3.0198,2.2396,5.0547,4.9061,2.0964
199303,0.5697,1.7282,3.6588,2.5458,4.9858,0.9714,2.4514,3.9135,2.1086,3.645,4.8407,3.1912,3.1363,3.0987,6.2499,2.8459,4.952,3.9644,3.3031,1.9813,0.7042,3.5665,3.3187,0.7276,3.4326
199304,-3.9691,-4.4905,-2.9216,-2.3013,-1.2629,-3.2123,-3.1547,-1.6537,-2.3276,-4.263,-4.3576,-2.7604,-2.9341,-1.5953,-1.4411,-5.0134,-2.5369,-1.7836,-1.6004,-1.8904,-5.9593,-2.2414,-0.2467,-1.5603,1.1337
199305,5.5421,4.3906,3.7292,3.0678,4.696,6.941,4.5795,3.4133,1.5817,4.1603,7.7674,6.6125,3.3306,1.8976,2.2442,6.9607,4.0917,1.9542,1.1689,2.7051,3.1335,4.4466,1.3837,1.7511,-0.5114
199306,-1.7092,0.5392,0.0426,-0.7411,2.03,-0.3623,0.7393,0.5546,0.3487,2.2981,-0.7925,0.3659,1.6757,2.5606,0.9759,0.8193,0.5774,2.3113,1.1548,3.8208,-2.458,1.0467,1.7227,1.7786,4.8369
199307,-1.549,-0.4635,0.9451,2.215,3.3104,-0.0958,0.4369,1.2027,2.864,1.9263,-0.3638,0.0889,1.0163,2.3205,-0.4618,-2.5862,1.2224,1.0988,2.2433,0.3367,-3.4786,0.2841,0.9944,2.4898,0.5623
199308,3.8907,5.0806,3.6947,3.3621,3.159,3.5526,5.8502,4.8728,5.3732,3.4322,4.1188,4.8447,3.5578,3.0504,2.9017,6.2235,3.471,4.7677,3.5216,5.1254,3.6979,2.1241,4.1203,4.3211,2.3754
199309,2.4117,2.2795,2.9476,2.9108,3.3677,3.6928,3.6037,2.3454,2.2651,2.1396,4.0509,0.9013,1.2515,1.6312,0.395,0.3542,2.0958,0.3256,-0.8587,-0.4951,-0.8785,-1.6586,-0.0633,1.3723,-3.2578
199310,5.0835,4.8183,4.5862,4.2641,4.43,3.9319,2.1134,0.794,1.2764,0.7986,1.948,-1.2007,0.6827,0.0452,4.0845,3.3032,0.3595,-0.5361,-0.8761,-1.2303,4.1305,0.5453,-0.1138,-0.7581,5.7653
199311,-3.9054,-2.9084,-2.039,-1.9947,-1.9054,-2.7387,-3.1675,-2.5572,-4.5111,-3.6966,-2.6183,-2.4758,-3.0149,-3.3098,-0.9911,-2.2796,-2.9527,-2.1538,-2.413,-5.1902,1.4717,-1.6503,-2.972,-3.4595,3.4239
199312,0.6824,0.8162,1.7507,1.276,1.1489,2.1989,4.4959,4.5267,1.4686,3.8672,4.0276,6.0748,5.5694,3.5046,2.8421,4.2046,5.5939,3.8263,2.3246,3.7198,0.0619,2.3001,0.6426,1.4215,2.6873
199401,2.5118,6.4221,5.2168,5.5874,6.0223,1.385,2.1188,1.834,2.9022,5.003,1.993,1.8654,1.5579,2.1113,7.2944,2.6863,3.2829,3.9398,2.5382,2.4777,1.3388,3.8167,4.8533,2.8985,5.9091
