,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199808,-27.4056,-21.3193,-20.732,-19.0243,-18.3614,-25.3591,-19.8084,-17.632,-17.4527,-17.2554,-23.344,-21.4113,-17.0264,-16.2602,-16.9918,-20.6053,-18.8778,-16.9552,-11.8326,-13.0364,-13.1162,-16.0907,-17.1971,-12.9933,-15.6016
199809,6.4881,3.9448,3.874,2.9636,1.4756,11.9539,7.7264,5.1378,4.7387,4.996,11.8945,4.844,8.7067,4.8687,1.9896,6.779,6.8567,6.8428,5.0962,6.1093,8.4718,4.2107,4.5453,1.9951,7.2199
199810,3.4138,2.8241,1.6876,2.9747,0.9721,4.7026,6.0081,3.4686,3.042,2.627,4.3697,6.7095,4.202,3.8414,4.4326,8.5425,9.6403,5.9294,3.8558,4.1293,7.6779,9.1415,8.2557,7.0908,6.8337
199811,9.9985,8.4453,6.403,6.9839,8.3646,9.6858,6.2548,3.8201,4.5254,5.0936,8.8859,6.1905,3.6389,1.97,3.9456,7.3654,2.3497,3.9937,4.1659,3.3166,7.6215,6.5676,4.3576,5.3239,5.2068
199812,4.3312,1.7156,3.5578,0.3561,1.6678,7.1754,5.2515,2.5732,4.2898,5.0162,11.8923,7.0998,4.0103,3.9144,3.7222,10.6382,4.2651,3.3415,3.4128,2.0654,9.2892,3.9837,1.8753,1.0937,4.8202
199901,8.1338,4.6353,5.4784,3.6293,4.3268,5.9933,1.0926,-2.3503,-2.3287,0.6891,4.6803,1.638,-2.3912,-2.2674,-3.0095,1.4457,-2.2832,-2.7518,-3.6888,-2.4691,6.0979,3.0917,-0.5493,-0.1385,4.761
199902,-7.6269,-7.6401,-6.5341,-5.2869,-5.858,-9.2691,-9.8332,-6.3737,-8.3368,-10.5849,-9.133,-9.0542,-5.3454,-7.4752,-4.8375,-5.3999,-3.5218,-2.9783,-3.9478,-2.1079,-4.7507,-1.9972,1.889,-1.3284,-2.7667
199903,-3.2062,-6.2783,-1.7984,-3.4351,-3.1932,0.5768,-0.1063,0.8499,-0.6404,-2.9721,4.0398,3.4778,2.6772,-2.1636,-0.4484,3.2898,4.0809,1.4039,0.4555,-0.3031,4.8119,1.5801,5.8422,4.2567,1.6034
199904,7.7638,8.6931,12.4451,10.4038,9.1551,10.8665,9.3828,7.5589,8.0962,8.413,7.5753,13.1384,10.4402,8.2252,9.8181,7.0189,10.1815,9.5093,9.9188,10.9755,-0.3665,9.1111,7.629,7.8022,4.8995
199905,1.8255,4.3028,0.3765,3.2998,4.6271,1.4275,0.4869,2.2617,4.6012,4.1371,-0.2349,-0.5889,1.1515,2.4979,2.5954,3.0294,-0.4744,1.307,2.5345,0.0461,-3.7479,-0.2216,-1.9357,-0.0445,-1.2848
199906,6.5545,8.3272,8.3317,6.0786,5.988,8.1457,7.5116,7.3437,4.6861,6.5177,4.6195,4.3091,2.7954,2.8112,4.9762,7.7665,8.7655,2.6565,2.3939,4.1326,6.7441,4.9739,2.3753,0.0754,-0.6389
199907,0.8099,2.4445,1.0778,1.2711,1.8288,-2.3541,-0.3614,-1.3736,-1.9786,-3.9087,-3.0795,-2.1047,-1.7487,-1.8599,-0.8458,-2.5338,-2.5171,0.1076,-1.4156,-1.8193,-3.0075,-3.6792,-4.8162,-2.7838,-7.6595
199908,-3.2942,-1.2704,-2.8323,-1.6787,-3.3573,-3.203,-3.9441,-4.1651,-3.3406,-4.1707,-2.2768,-5.5935,-3.8441,-3.2656,-0.978,-1.839,-4.4669,-2.5099,-2.3847,-6.2368,0.8006,-3.6399,-2.0155,-4.4637,2.5266
199909,1.8754,-0.2513,-1.2012,-2.6125,-3.8946,0.3909,1.0344,-0.8372,-2.2931,-1.4071,3.1613,1.2479,-3.3622,-2.8062,-2.7942,1.8941,-3.7144,-3.6235,-4.8147,-1.5239,-1.939,-3.1993,-6.8968,-8.9906,-7.6382
199910,-0.2769,1.3518,-2.3271,-0.4426,-2.708,2.9025,-0.6504,-0.7652,-1.5074,-5.23,2.7084,0.5056,-0.9076,-1.1183,-0.3181,8.2604,1.2316,2.4764,2.8276,4.9102,6.4856,10.4217,7.188,3.0698,7.3694
199911,19.9257,11.3801,10.4851,7.1165,6.7221,12.3893,7.8837,5.3386,2.952,3.2851,11.7909,7.1176,-1.4986,-0.656,0.968,11.5845,-1.2156,-1.1581,0.1176,2.9344,4.5609,-0.8503,-4.0647,-5.8114,0.3072
199912,24.8282,25.5744,7.8847,12.0175,7.6702,17.4653,11.9121,4.7332,3.8643,6.6951,15.9846,9.3534,-0.0235,4.0422,3.6092,21.2152,3.3231,0.7922,6.7216,4.7012,8.2042,1.8854,1.7527,-0.0446,-0.1332
200001,9.9538,5.4182,4.8119,3.5158,5.0479,0.4139,-2.175,-2.1809,0.5912,-2.8911,-3.3819,-4.8667,-1.7804,-3.7162,-6.811,-3.8982,-3.0533,-3.1213,-4.6854,-10.9026,-5.0343,-3.2124,-5.7165,-7.2367,-1.6292
200002,38.9449,41.0516,21.8625,25.4048,14.7865,28.1757,17.6221,6.7396,7.6123,14.5348,24.6065,10.023,1.8461,-0.5754,-0.5327,26.2219,-0.0963,-1.3348,2.5794,-5.3577,0.5422,-5.3134,-10.0009,-10.1914,-8.2629
200003,-13.3767,-19.902,-8.6477,-6.4258,-3.0342,-13.4493,-4.7032,-1.8837,-0.1241,-1.5459,-14.9907,4.1432,10.52,6.8049,11.9225,-3.28,13.4028,14.0104,10.2395,13.1038,9.2568,11.4684,9.7693,16.0942,15.6473
200004,-23.5996,-17.7223,-9.7302,-11.345,-9.755,-12.4397,-8.4027,-4.239,-2.78,-2.6199,-9.8816,0.362,-2.9187,3.9148,0.1323,-7.4438,-2.3261,3.6734,-0.0932,2.0394,-4.4725,-3.3356,3.2869,2.7037,6.6697
200005,-13.9811,-9.68,-4.76,-8.0338,-6.7169,-10.2053,-4.8943,-5.947,-7.5208,-0.9005,-4.9322,-3.5574,-1.0858,-0.4146,2.4644,-7.7604,1.2174,-1.8499,0.0572,0.1358,-3.7172,0.1409,4.2558,0.4599,-4.7119
200006,29.9385,27.0061,17.3776,18.3201,10.6667,14.0875,10.9986,3.9755,4.8658,9.3166,15.3067,1.5408,0.3881,-0.9824,2.4135,10.962,2.802,-3.4015,-3.2936,-4.418,5.8573,-4.2139,-7.5305,-8.547,-7.7357
200007,-8.6627,-1.2244,0.7453,1.2628,1.3722,-7.6883,-1.0409,1.6073,0.9076,2.1604,-10.3197,-0.7341,3.1866,4.0126,8.3669,-7.0811,-1.2369,2.9974,3.3529,1.2843,-2.9641,0.1256,5.7327,8.2825,1.1313
200008,9.2335,8.5852,3.9489,5.5087,5.1261,8.0323,3.7308,5.0302,6.1396,7.0064,8.7265,9.4063,6.8879,6.5999,7.7099,13.6081,6.6732,5.1142,7.5583,5.4526,7.4373,7.4049,10.173,1.8782,12.8571
200009,-10.323,-0.9463,-3.7635,-0.1146,-0.8642,-4.6506,-2.9449,0.1777,-1.2018,-2.2319,-10.3395,-2.6361,0.6181,2.6816,-1.1747,-9.4227,-0.1811,-0.8958,2.6549,-3.1432,-6.0674,-2.7001,4.3584,6.7978,-3.8128
200010,-11.9786,-10.5066,-2.4503,-5.8901,-4.1986,-9.1108,-0.7884,-0.9801,0.1337,-1.8035,-10.4931,-1.4666,-1.3953,0.4934,2.7924,-5.5775,1.8422,2.9075,-1.8598,4.1968,-2.1609,1.8555,-3.9877,4.1607,0.1889
200011,-20.8887,-12.47,-6.6619,-4.3206,-4.4848,-18.0639,-6.1976,-2.9189,-4.1901,-3.7538,-19.9849,-7.0867,-5.7828,0.6274,1.8593,-18.5873,-0.4591,0.3545,2.1407,-1.0361,-10.6093,-5.6545,-5.0092,-1.795,-5.8513
200012,-9.6928,1.3999,0.1625,3.7002,2.7254,-0.3089,7.7337,12.5186,10.263,12.0566,2.8996,13.514,11.243,13.613,9.9395,4.6031,9.4741,10.679,11.5583,15.9576,-1.3152,8.1697,7.3414,7.2623,1.0604
200101,27.0094,17.2034,14.0396,11.827,13.0909,15.0177,8.17,4.3063,5.5149,5.6743,12.8112,2.8043,-0.2723,-1.6528,3.3065,7.0785,0.9869,-0.354,-2.757,3.2854,3.265,3.0006,3.7874,-1.135,2.8983
200102,-13.7217,-9.1967,-1.8004,0.4611,-0.2341,-13.814,-2.4039,-1.3703,-2.001,2.3399,-17.333,-3.827,-0.404,1.2189,0.6291,-14.8992,-2.4827,0.2567,0.5788,0.6832,-11.9841,-2.8814,-0.707,2.8486,3.1302
200103,-12.218,-1.1609,-1.18,-0.1136,-1.8203,-5.63,-0.5614,-2.5608,-1.2362,-1.2278,-11.6543,-4.4784,-3.4002,-3.674,0.724,-11.3448,-3.1045,-2.0543,-0.5266,-1.5636,-8.5223,-2.4231,-0.3606,-1.1822,-2.9725
200104,8.9175,7.024,2.5143,4.929,5.0678,11.2406,4.9633,6.9937,4.3564,5.4459,11.3736,8.9541,5.8641,4.7312,6.0911,16.0183,7.7229,4.8749,8.1267,8.0941,9.1111,4.8572,3.6199,2.7077,6.6172
200105,12.952,11.2978,9.2644,11.3782,10.5628,2.4357,3.9687,2.2184,4.9124,4.3258,4.9001,0.2123,3.1944,0.6685,1.6707,3.476,3.7894,3.1321,1.0869,4.4502,0.031,1.7423,3.0613,0.9906,4.94
200106,2.3952,2.8897,4.9319,3.1064,0.1427,6.5676,9.6035,7.1378,6.3556,4.1618,4.9141,-1.0181,1.1383,0.2949,0.7651,3.6344,-1.2331,-1.1615,-3.4624,3.1936,-2.2216,-3.8585,-0.1929,-2.3251,1.9424
200107,-9.3461,-7.6484,-2.3472,0.1978,-0.3338,-10.2434,-7.4938,-6.5949,-3.0845,-3.465,-9.2165,-4.3159,-2.9337,-0.7316,2.0462,-5.0706,-1.1562,1.0237,1.9481,-0.7068,-1.6248,-0.3686,-2.1262,-2.2045,5.4028
200108,-8.2687,-5.2648,-3.4015,-1.2683,-1.0776,-10.0589,-4.3228,-2.4583,-1.5038,-1.1907,-7.3447,-3.2079,-3.0659,-0.9083,-1.4216,-7.1721,-4.1457,-3.2219,-1.5992,-10.4636,-7.2597,-4.1758,-3.0792,-8.3521,-8.5045
200109,-15.9488,-15.1456,-10.1189,-9.3346,-13.7644,-18.684,-15.5503,-12.1375,-15.3533,-16.6687,-15.563,-13.0888,-12.1599,-12.4029,-19.1889,-16.6338,-13.0974,-9.6599,-13.8222,-17.5199,-7.4383,-8.814,-7.1874,-11.1503,-2.2527
200110,9.0966,7.3829,6.8849,4.2216,4.7624,11.8496,8.7197,5.0372,2.4868,4.1185,13.5057,6.4337,4.266,3.9728,9.7766,8.5269,3.5492,0.8314,3.9271,2.2004,3.4691,-0.4557,-1.7388,1.4097,-13.2389
200111,7.1066,10.3682,4.5097,6.2861,6.7909,10.5063,8.4252,5.809,10.2711,11.5111,9.9388,6.4747,7.2245,8.8155,12.7949,10.5831,9.2027,6.4991,10.3892,10.1413,7.904,6.1179,5.2866,10.862,12.8382
200112,12.5069,7.1297,5.8655,5.6997,7.2327,8.301,5.7425,7.013,7.8888,7.5931,5.068,6.2327,6.8097,5.656,7.4257,3.6899,4.6155,6.0029,5.1922,4.3228,0.0237,2.7927,3.515,-1.2443,1.4929
200201,-7.9709,-1.03,2.6309,3.3528,5.101,-6.5248,-2.3745,0.3921,0.935,1.4215,-4.7863,-1.4077,-1.1775,1.9217,3.8636,-3.7731,0.0319,1.6971,2.7276,-4.0793,-0.7345,-2.2703,-1.2506,-1.0043,-6.6355
200202,-10.3069,-5.8629,-3.7031,-1.4138,-3.4011,-9.7296,-5.961,-0.5275,1.4023,-0.3768,-7.1242,-0.851,-0.2464,0.0637,3.8678,-4.1335,1.1784,1.2964,-2.4589,3.5143,-2.7102,0.7539,-0.2308,-1.3286,-10.2423
200203,5.902,7.7399,7.8479,8.0346,9.8869,8.6759,9.0482,7.6962,7.7805,12.4395,8.3868,6.8668,7.2075,7.3256,9.4125,6.805,6.7834,5.8688,5.076,7.7103,3.0511,5.6833,4.1252,6.4009,2.9457
200204,-9.4796,0.2888,2.3702,3.4256,5.4955,-4.9043,0.5643,3.587,4.4076,4.5534,-5.0038,1.3284,1.4505,1.1003,-0.3521,-3.3716,1.0567,-0.7811,-0.974,-0.5279,-7.8846,-3.8958,0.6307,-1.8273,-16.5455
200205,-7.2214,-5.4142,-2.3851,0.9685,0.1975,-7.4745,-5.6392,-4.0669,-3.1342,-6.2014,-5.7148,-3.1752,-3.6181,-2.3255,-3.5242,-3.2601,-0.2994,-0.2724,-1.6209,1.1646,-1.4268,0.3312,0.1427,2.6425,-6.0144
200206,-9.1292,-6.1423,-0.7773,0.4685,-1.0504,-8.0368,-5.4945,-1.4969,-1.4435,-3.4527,-7.4693,-7.4155,-5.5529,-4.425,-7.2494,-9.5331,-7.3787,-6.7488,-5.4684,-10.0458,-7.579,-4.6651,-5.6695,-10.7337,-14.0749
200207,-19.3574,-15.6697,-14.1796,-11.3879,-12.1466,-16.2207,-16.7483,-14.0182,-15.6084,-19.2522,-8.4828,-10.1355,-11.4766,-13.3366,-15.8225,-10.7409,-8.257,-10.5294,-11.0624,-18.4433,-5.1795,-10.062,-7.6327,-9.9409,-14.3171
200208,0.7869,-1.7997,-2.7316,-0.3385,-2.1003,0.2038,0.8488,-0.5275,0.9729,-0.7562,0.2678,-0.1153,2.5287,2.1393,3.9952,-1.0155,-0.2214,1.3565,0.1756,5.1122,0.2196,0.1301,1.4978,4.1415,7.9068
200209,-10.9338,-7.8229,-8.0004,-6.7404,-6.8466,-8.0191,-6.7321,-5.8059,-8.385,-7.8177,-7.9202,-8.479,-9.2739,-7.177,-10.1227,-8.5565,-8.9482,-12.6596,-11.5405,-21.8125,-10.9961,-11.4485,-8.3629,-8.6523,-8.8729
200210,5.7489,4.8452,3.3672,1.4515,1.2914,9.9002,3.0423,3.8717,2.1306,-2.2431,6.5884,3.202,6.0249,3.0018,-0.594,6.8216,5.7845,3.0729,4.1949,3.2292,9.6387,10.7945,3.3654,6.7784,9.3592
200211,17.8993,12.453,10.5109,7.9424,9.3667,13.1562,10.4032,7.9747,5.9997,6.0077,9.7699,7.6871,6.2155,6.2881,11.045,9.6226,7.2255,9.5638,8.6306,15.5161,4.6688,6.2453,4.8721,6.8492,7.2204
200212,-10.0242,-5.8531,-5.4903,-1.7862,-2.3744,-10.2494,-6.9562,-4.7302,-3.2011,-3.3971,-7.5011,-4.4117,-2.8174,-3.9316,-5.9605,-7.198,-4.9502,-3.4805,-4.4461,-1.8456,-6.3155,-5.9406,-3.1304,-4.7013,-8.4045
200301,-0.2979,-0.6219,-1.7821,-0.506,0.2268,-3.5548,-3.1399,-2.6821,-2.0862,-3.2029,-1.6671,-3.798,-3.2124,-4.033,-3.8166,-1.3619,-3.1022,0.007,-2.9972,-6.4714,-2.8004,-2.7657,-1.6056,-5.1067,-4.743
200302,-6.458,-2.8193,-2.1647,-1.4269,-2.3393,-2.6636,-1.7927,-2.1851,-2.7437,-6.6572,-4.1669,-0.9109,-2.1988,-3.7594,-3.0832,-3.0798,-1.6608,-2.0816,-1.2464,-6.8624,-0.5328,-3.8529,-2.8716,-3.8423,-5.3043
200303,1.8576,1.6902,0.5248,1.7257,-0.164,2.6129,0.5174,0.4357,1.8242,-0.9529,3.2242,0.7127,-0.0687,-0.3849,0.9505,1.3266,-0.6901,0.9052,1.4381,-4.2969,1.9726,0.1777,1.0653,-0.9491,-3.385
200304,12.3589,11.1907,7.9818,7.2073,9.6408,10.296,9.6451,9.0754,9.6636,9.4,8.8005,8.3801,9.7395,12.0672,10.6261,8.9099,7.4263,10.5779,7.6115,8.7275,7.1768,9.5864,8.4025,10.6574,13.3856
200305,20.5515,14.7345,11.8115,9.9638,11.1742,12.9095,10.3399,11.1187,9.3984,9.8087,8.7648,8.6645,9.2183,10.116,8.293,10.2647,9.9516,8.9426,9.7126,9.3329,4.2807,6.5038,6.453,6.571,7.3541
200306,6.5422,4.3056,4.9032,3.8095,5.9214,1.8931,0.3812,1.1598,2.5008,4.0842,2.6212,1.9013,0.1523,0.882,3.8797,1.3005,0.6823,-0.1401,-0.6935,8.0957,0.9689,2.0802,2.5832,-0.9499,3.2236
200307,9.0447,7.8077,8.4781,9.2749,7.5361,8.0176,5.7477,6.1202,6.3732,7.6362,7.7162,4.7858,1.6683,4.0643,2.995,3.8031,4.1281,3.1075,6.0373,1.2671,1.2281,3.8397,1.2405,-1.3978,2.8464
200308,4.533,4.897,3.9593,4.5178,7.1888,4.4006,3.0488,5.2816,5.2029,6.2878,4.1465,3.9443,4.271,8.6807,7.6944,5.0977,3.7834,4.0448,5.0053,9.5859,1.9451,0.8381,1.0442,2.0792,4.033
200309,3.3195,0.199,0.2473,2.3388,4.7159,-2.3116,-2.2262,-2.4164,-4.3916,-1.1714,-1.9462,-2.8578,-1.9342,-1.7653,-0.4745,-1.7834,-2.2427,-0.9927,-1.0703,0.2092,-0.6462,-1.2809,-1.0027,-3.391,-3.6299
200310,5.958,8.9044,7.4736,10.9178,11.3374,9.4184,7.4758,6.7473,10.4946,10.9795,9.1506,6.3421,6.4925,10.2498,11.989,7.7692,8.6692,8.5128,9.3755,8.1687,4.0103,7.522,8.2701,5.6253,4.5567
200311,2.6675,3.4174,4.947,3.615,6.9356,2.6162,3.4752,2.9737,4.028,3.6871,3.6977,3.0812,1.9229,5.4905,3.0991,1.2885,2.9931,3.6386,3.4275,3.8742,0.8815,0.442,1.0525,0.5637,4.8633
200312,0.3142,2.6496,2.951,1.4488,4.3505,1.3666,2.6451,2.4825,2.3417,3.5316,-0.5522,2.6398,4.1441,1.8528,8.3219,0.8617,3.2753,2.5665,5.0948,2.8161,4.602,5.0768,4.8788,7.4261,6.4486
200401,5.9304,6.3131,5.4871,6.3011,8.3273,3.3305,3.8184,3.1809,4.1562,7.3136,3.2126,2.0089,1.7986,3.4212,6.3,1.7062,1.4873,4.4753,2.6691,4.7842,1.4533,1.4384,2.9621,1.3093,3.8214
200402,0.5411,0.1472,-0.0117,0.9965,0.0344,1.1337,1.9337,0.9442,-0.3434,0.3001,-0.0775,2.6501,3.7905,1.8559,0.5522,2.3508,2.042,2.2832,3.4836,0.7357,1.0486,2.199,1.2535,1.8875,4.2227
200403,-1.5418,-0.5236,-0.7561,0.5298,-0.8491,2.3731,1.8218,-0.7372,1.5079,1.5005,1.6599,0.6745,0.1757,0.2771,0.8824,0.4091,-0.7933,1.0905,-1.0553,-1.1705,-2.3017,-0.7762,-1.6678,0.2981,-1.3178
200404,-4.1795,-5.1667,-3.3784,-3.8619,-6.5732,-3.9933,-4.4803,-2.202,-4.346,-8.4811,-1.9616,-2.6889,-3.0562,-5.7159,-6.4646,-1.5369,-4.6619,-3.9278,-2.7383,-3.5819,0.2928,-3.18,-3.1705,-2.3682,-0.95
200405,-2.0783,-0.5429,0.2241,-0.6437,0.7762,1.5982,1.3958,1.4342,1.168,3.8113,1.4618,2.3099,2.1228,1.5453,1.7503,1.1512,2.2001,2.6447,1.2713,4.0078,1.3908,1.0838,0.4055,0.5497,0.2759
200406,1.2524,4.6662,4.2282,3.2034,4.1527,3.2209,5.0998,5.8712,5.4196,8.3579,2.2583,4.429,1.7686,2.202,4.8007,1.4785,2.5766,2.4245,3.3098,4.2121,1.4256,1.5192,0.3226,3.2546,2.8803
200407,-12.8224,-7.6021,-6.766,-5.4728,-4.247,-8.9644,-8.0432,-6.1548,-4.7865,-4.0441,-8.8699,-5.8152,-3.5269,-2.417,-4.5368,-5.8993,-5.6426,-4.056,-5.847,-1.7922,-4.9471,-1.4857,-0.7905,-1.9455,-1.3866
200408,-1.6364,-0.7219,-0.9757,-1.5499,-1.7874,-4.4099,-1.6407,0.2043,0.338,0.6744,-2.3613,-1.6476,0.953,0.3818,-1.6374,-1.5779,-0.8968,0.4675,0.7631,0.0961,-0.3373,1.6794,1.0412,0.9609,0.1897
200409,4.7664,4.2,5.4254,4.1464,3.7942,8.3172,5.5027,5.3655,4.3529,4.0377,4.0683,4.6758,3.494,3.3393,2.6987,2.9943,3.0289,4.6163,3.0395,3.355,0.083,1.4906,1.7894,1.3097,4.1379
200410,1.0718,2.2403,3.2287,0.492,0.5473,3.6072,3.3071,1.6732,0.0325,2.8321,2.2175,4.1334,1.8194,0.7148,1.1685,3.8119,2.9764,1.1708,1.3778,-0.3649,1.4423,0.6563,3.3593,0.2906,2.249
200411,10.6935,8.3813,8.1598,7.5578,9.7165,7.406,9.5239,9.1603,9.3319,11.1745,5.8267,6.9985,7.4129,7.0463,9.6137,5.2587,7.1289,7.6156,7.2758,9.3725,3.0463,4.4169,5.727,3.5029,6.1602
200412,5.3561,4.5812,3.9912,3.1161,6.2444,3.4253,3.3127,2.4121,2.4124,3.722,5.4351,3.5101,1.581,2.1956,4.4359,4.3358,4.2145,4.1795,5.226,3.0583,3.8094,2.7544,1.4075,5.5346,2.3747
200501,-6.3577,-4.1715,-4.0958,-3.0131,-1.3876,-5.4312,-3.205,-4.1234,-2.7885,-2.4274,-3.5565,-3.8728,-3.3691,-0.6661,-3.1699,-2.6657,-3.9206,-3.0136,-1.7666,-2.0284,-3.1875,-1.5336,-1.6264,-2.2942,-0.1423
200502,-0.9243,-0.352,-0.5335,1.368,3.1128,2.3718,1.423,2.4281,4.4345,3.3381,0.7098,2.9432,3.4853,2.3378,2.082,2.0268,2.1017,3.5017,3.3788,4.9193,0.7183,4.7755,2.6351,0.4871,4.9732
200503,-5.7713,-2.8667,-3.2288,-2.3933,-2.5413,-4.3186,-2.1976,-2.4569,-0.7492,-1.3665,-1.8007,-2.4594,-2.5129,-2.4126,-0.1496,-2.2833,-0.035,0.722,-2.3996,-1.6746,-1.1186,-3.7847,-0.6982,-0.3517,-0.775
200504,-5.5131,-6.7345,-5.321,-6.7577,-6.6662,-7.6926,-6.3396,-6.2724,-5.8763,-5.8598,-5.2659,-3.8973,-5.5251,-5.4437,-4.2085,-3.8819,-4.5724,-3.9672,-2.6506,-3.1524,-1.0435,-2.3582,-2.1558,-1.0404,-3.044
200505,6.6766,6.2595,4.8606,3.7264,5.3997,9.4888,8.207,6.6821,5.7699,7.0186,6.1515,6.2189,5.28,4.3552,7.262,6.2307,5.9805,5.4503,6.5241,5.1442,3.8265,2.7446,1.2412,2.2305,3.7815
200506,3.7468,3.5813,4.579,4.2564,5.3036,2.0629,4.417,4.4424,4.2843,4.0639,2.2103,2.2886,3.0395,4.4417,3.577,1.2351,1.6392,3.549,4.4439,2.9844,-1.6334,1.2612,1.5176,1.4279,3.0806
200507,7.8916,7.7069,7.0186,6.9237,6.8253,6.8186,6.7614,7.439,5.9098,6.9316,4.5308,6.258,6.7244,4.818,4.7401,5.9412,5.3696,5.2268,7.0935,5.1317,4.7463,2.8434,1.0079,3.8387,4.2617
200508,-2.3961,-0.4475,-1.4241,-0.8972,-0.8273,-2.6928,-0.8303,-1.4199,-1.5689,-2.134,-2.4558,-0.4923,-0.8059,-1.3959,-0.3966,-1.7228,-0.5893,-0.2744,1.0608,-1.4883,-1.5184,-0.9958,-0.7164,0.8742,-0.6348
200509,1.1636,1.8223,0.1419,1.2534,-0.8923,0.3023,1.135,1.0666,0.4643,0.496,-0.8187,2.2247,1.1844,-0.6629,0.397,0.5475,-0.6514,1.8406,3.6635,1.7484,-0.2426,1.2737,1.4658,1.3401,2.5182
200510,-3.8949,-3.2378,-2.7655,-2.0428,-2.2219,-3.3332,-1.8685,-3.1087,-2.8687,-2.8992,-3.1552,-3.9547,-1.6096,-3.6819,-3.4852,-1.0667,-3.5106,-2.664,-4.7083,-3.6335,-0.322,-3.0107,-1.332,-1.2597,-1.4122
200511,4.8392,4.7599,4.903,3.9822,3.5751,5.2704,4.7548,4.8634,4.9314,3.5154,7.0288,5.8912,4.5044,4.2327,1.671,5.4029,4.812,3.803,2.8116,4.8656,3.6008,4.163,3.8194,3.3908,2.2904
200512,-0.495,0.4267,-0.4284,0.2268,0.604,0.0788,-0.9367,-0.4695,-0.635,-0.6188,0.5508,0.9055,0.7371,0.4675,1.0741,0.4309,1.5145,1.7021,2.2253,0.7113,-0.934,0.0809,0.7376,0.6589,-0.3621
200601,11.4767,9.3157,8.5276,8.0768,8.3009,6.8367,8.7175,10.3698,9.905,7.8221,5.6253,8.2504,9.0571,4.7227,6.1594,5.3167,4.8578,4.9535,3.8629,4.6341,1.2574,2.3774,1.6524,5.307,4.13
200602,-0.3432,0.9289,-0.2798,-0.57,0.2943,-0.0127,-0.2948,-1.1746,0.4177,-1.8467,0.6707,-1.7858,-0.3001,-0.861,-1.5966,0.6494,-0.4189,-0.2924,-2.2712,1.3133,-0.2326,0.5379,1.0714,0.262,-0.9312
200603,4.0731,5.516,4.4533,5.459,6.6103,3.2133,5.3332,6.4323,5.3062,4.1091,4.9293,3.8672,2.8206,2.8144,1.7588,3.5019,2.4368,2.7387,2.0407,2.6011,0.8856,1.9441,1.2576,1.0742,0.8872
200604,-1.1519,-1.376,0.1975,0.4756,1.7518,-0.7041,0.8137,3.6118,-1.1199,2.5674,-1.2258,-0.4034,2.2466,-0.3713,2.6479,0.1607,0.2343,1.1208,3.1951,3.2573,-0.8002,2.1832,2.5743,2.0828,4.8649
200605,-9.3232,-6.4108,-4.3435,-4.4636,-3.961,-6.2277,-6.0307,-4.2522,-5.2759,-3.0783,-6.1978,-4.8788,-4.1666,-3.091,-1.8305,-5.5014,-2.8107,-2.6554,-1.9492,-2.7228,-2.8646,-2.703,-2.461,-1.2692,-2.6494
200606,-0.8939,-0.9853,-0.7014,-0.0907,-0.2917,0.1002,1.4094,-0.0561,0.4551,-0.1876,-0.8016,-0.6463,-0.33,0.2821,0.2609,-0.3516,-1.7532,-1.0206,0.1749,-0.7195,0.3684,-0.7682,0.5697,1.2091,1.1344
200607,-5.7617,-3.4189,-3.5458,-2.1413,-2.6177,-5.2183,-4.4795,-2.963,-1.7004,-3.6194,-6.279,-2.9753,-4.1872,-1.8762,-1.3217,-4.8237,-3.0157,-2.544,-3.151,-1.3271,-0.9984,1.6211,1.4424,1.8298,3.8005
200608,3.3871,2.4495,3.1564,2.5844,2.7578,3.3887,2.3908,3.2865,3.3605,1.7984,2.4432,2.1272,2.1554,2.8487,2.1534,1.4621,3.3521,0.3382,3.2049,2.6734,4.2152,1.9623,2.5234,0.0842,0.4874
200609,-0.2748,0.2434,-0.1077,0.6889,2.0311,0.8296,1.4199,1.0646,1.7156,1.1914,2.2695,0.0247,1.3719,1.047,1.0661,1.9554,2.7925,1.1637,1.1784,0.8843,2.5977,2.7799,1.8864,2.3119,4.2635
200610,7.0618,6.0442,6.1193,4.7124,5.3295,6.2086,5.2333,4.8274,4.7705,4.6581,5.7606,4.2354,3.8656,3.6455,5.2947,4.335,4.7491,3.6184,2.8583,3.2116,3.2003,2.2193,3.8233,3.562,5.0557
200611,1.1595,3.4419,1.6694,2.1201,2.7064,1.6723,3.0705,3.008,3.2702,2.9192,3.7008,3.881,4.548,3.9554,3.4449,3.8239,4.1684,3.5369,2.2722,4.7527,0.9797,2.2394,2.551,2.0664,-0.2085
200612,0.2778,0.9499,1.6502,2.0777,3.6844,-2.1515,-0.7853,1.0556,0.3723,1.6309,-1.0565,-0.0807,0.9195,1.0892,1.0112,-1.0822,0.311,-0.4746,1.9364,2.4528,-0.0719,1.3338,3.4544,2.7363,3.564
