gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,csho,epsfx,ni,costat
1440,12/31/15,2015,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,491.053,3.59,2047.1,A
1440,12/31/16,2016,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,491.712,1.25,610.9,A
1440,12/31/17,2017,INDL,C,D,STD,AEP,25537101,AMERICAN ELECTRIC POWER CO,USD,491.842,3.89,1912.6,A
1447,12/31/13,2013,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,,,,A
1447,12/31/13,2013,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,1064,4.88,5359,A
1447,12/31/14,2014,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,,,,A
1447,12/31/14,2014,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,1023,5.56,5885,A
1447,12/31/15,2015,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,,,,A
1447,12/31/15,2015,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,969,5.05,5163,A
1447,12/31/16,2016,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,,,,A
1447,12/31/16,2016,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,904,5.65,5408,A
1447,12/31/17,2017,FS,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,,,,A
1447,12/31/17,2017,INDL,C,D,STD,AXP,25816109,AMERICAN EXPRESS CO,USD,859,2.97,2736,A
1449,12/31/13,2013,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,,,,A
1449,12/31/13,2013,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,459.413,6.76,3158,A
1449,12/31/14,2014,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,,,,A
1449,12/31/14,2014,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,442.445,6.5,2951,A
1449,12/31/15,2015,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,,,,A
1449,12/31/15,2015,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,424.38,5.85,2533,A
1449,12/31/16,2016,FS,C,D,STD,AFL,1055102,AFLAC INC,USD,,,,A
1449,12/31/16,2016,INDL,C,D,STD,AFL,1055102,AFLAC INC,USD,405.81,6.42,2659,A
1487,12/31/13,2013,FS,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,,,,A
1487,12/31/13,2013,INDL,C,D,STD,AIG,26874784,AMERICAN INTERNATIONAL GROUP,USD,1464.063,6.08,9085,A
